"source","translation_pl_PL"
"Move the view with the arrow keys or WASD, or push the mouse to the screen edge. Scroll to zoom, Q and E rotate, Ctrl with the up and down arrows tilts, and Home returns to your camp. Follow keeps the camera on your selection. Move the camera now.","Ruszaj widokiem strzałkami albo WASD, lub dosuwając mysz do krawędzi ekranu. Kółko przybliża, Q i E obracają, Ctrl ze strzałkami góra-dół pochyla, a Home wraca do obozu. Śledzenie trzyma kamerę na zaznaczeniu. Rusz teraz kamerą."
"The top-left buttons pause the battle and set the speed, from half up to quadruple. Space pauses too, and + and - step through the speeds without reaching for the bar. The active speed stays lit while paused, and you can change it there. Change the speed or pause and resume now.","Przyciski w lewym górnym rogu wstrzymują bitwę i ustawiają tempo, od połowy po poczwórne. Spacja też wstrzymuje, a + i - przechodzą przez tempa bez sięgania na pasek. Wybrane tempo pozostaje podświetlone w pauzie i tam też można je zmienić. Zmień teraz tempo albo wstrzymaj i wznów."
"The star in the top bar shows your current objective. Press Escape and choose Objectives to read the full briefing: what wins the mission, what loses it, and any optional goals. Open it now, then return to the battle.","Gwiazdka na górnym pasku pokazuje twój obecny cel. Naciśnij Escape i wybierz Cele, by przeczytać pełną odprawę: co wygrywa misję, co ją przegrywa i jakie są cele opcjonalne. Otwórz je teraz, a potem wróć do bitwy."
"You know everything the field will ask of you. The Roman camp lies across the meadow. Gather your army, keep the commander behind the line, and take the camp: kill the Roman commander and the mission is won.","Wiesz już wszystko, o co poprosi cię pole. Rzymski obóz leży po drugiej stronie łąki. Zbierz armię, trzymaj dowódcę za linią i zdobądź obóz: zabij rzymskiego dowódcę, a misja jest wygrana."
"Select at least one of your soldiers","Zaznacz co najmniej jednego ze swoich żołnierzy"
"Right-click the ground to move your selected troops","Kliknij ziemię prawym przyciskiem, by ruszyć zaznaczone oddziały"
"Destroy the Roman scouting party (%1 soldiers)","Zniszcz rzymski patrol zwiadowczy (żołnierzy: %1)"
"Deliver %1 wood to your barracks yard","Dostarcz %1 drewna na dziedziniec koszar"
"Deliver %1 stone and %2 iron","Dostarcz %1 kamienia i %2 żelaza"
"Build a Home with a builder","Zbuduj Dom budowniczym"
"Recruit a soldier at the barracks and wait for it to march out","Zrekrutuj żołnierza w koszarach i poczekaj, aż wymaszeruje"
"Field at least %1 soldiers","Wystaw co najmniej %1 żołnierzy"
"Break the Roman raid","Złam rzymski najazd"
"Give a Guard, Hold or Patrol order","Wydaj rozkaz Strzeż, Trzymaj albo Patroluj"
"Select your commander and trigger the Aura","Zaznacz dowódcę i odpal Aurę"
"Move, zoom or rotate the camera","Przesuń, przybliż albo obróć kamerę"
"Change the game speed or pause and resume","Zmień tempo gry albo wstrzymaj i wznów"
"Open the Objectives screen","Otwórz ekran Celów"
"Kill the Roman commander and take the camp","Zabij rzymskiego dowódcę i zdobądź obóz"
"Tutorial","Samouczek"
"Tutorial %1/%2 · %3","Samouczek %1/%2 · %3"
"Show","Pokaż"
"Tutorial step","Krok samouczka"
"TUTORIAL · STEP %1 OF %2","SAMOUCZEK · KROK %1 Z %2"
"Open the help screen","Otwórz ekran pomocy"
"Hide the tutorial card (it can be shown again)","Ukryj kartę samouczka (można ją pokazać ponownie)"
"Well done - the tutorial is complete.","Dobra robota — samouczek ukończony."
"Well done. The next step follows in a moment, or press Continue.","Dobra robota. Kolejny krok za chwilę albo naciśnij Dalej."
"Resume","Wznów"
"Pause","Pauza"
"Show me","Pokaż mi"
"Replay step","Powtórz krok"
"Skip step","Pomiń krok"
"Continue","Dalej"
"End tutorial","Zakończ samouczek"
"Iron Sepulcher %1","Żelazny Grobowiec %1"
"The shrine answers to you now. Its dead fall still.","Świątynia słucha teraz ciebie. Jej umarli padają nieruchomo."
"The shrine is broken. Every risen guardian crumbles.","Świątynia jest złamana. Każdy powstały strażnik rozsypuje się w proch."
"The barrow gives up its hoard: %1.","Kurhan oddaje swój skarb: %1."
"Wave %1/%2","Fala %1/%2"
"The Iron Sepulcher wakes. %1 rises to meet you.","Żelazny Grobowiec się budzi. %1 powstaje ci naprzeciw."
"%1 claws out of the ground.","%1 wygrzebuje się z ziemi."
"The risen guardians are put down. The ground is quiet.","Powstali strażnicy zostali położeni. Ziemia jest cicha."
"Attack","Atakuj"
"Guard","Strzeż"
"Hold","Trzymaj"
"Patrol","Patroluj"
"Medic","Medyk"
"Build","Buduj"
"Collect","Zbieraj"
"Repair","Napraw"
"Unit details","Szczegóły jednostki"
"Close the unit details","Zamknij szczegóły jednostki"
"No details are available for this unit.","Brak szczegółów dla tej jednostki."
"In the field","W polu"
"Damage per second","Obrażenia na sekundę"
"Range","Zasięg"
"Health","Zdrowie"
"Speed","Szybkość"
"Sight","Pole widzenia"
"What it can do","Co potrafi"
"Highlighted orders are the ones this selection can carry out right now.","Podświetlone rozkazy to te, które to zaznaczenie może teraz wykonać."
"What it costs","Ile kosztuje"
"Reserve %1  ·  Build time %2s","Rezerwa %1  ·  Czas budowy %2 s"
"Fields %n soldier(s) in one squad.","Wystawia %n żołnierza w jednym oddziale. | Wystawia %n żołnierzy w jednym oddziale. | Wystawia %n żołnierzy w jednym oddziale."
"Strengths and weaknesses","Mocne i słabe strony"
"History","Historia"
"Line infantry","Piechota liniowa"
"Heavy infantry","Piechota ciężka"
"Spear infantry","Piechota włócznicza"
"Ranged","Dystansowa"
"Skirmisher","Harcownik"
"Cavalry","Jazda"
"War beast","Bestia bojowa"
"Siege","Oblężnicza"
"Command","Dowodzenie"
"Support","Wsparcie"
"Worker","Robotnik"
"Civilian","Cywil"
"Caster","Czarownik"
"Shielded","Tarczownik"
"Mounted","Konny"
"Expendable","Na stracenie"
"Awakened","Przebudzony"
"Elite","Elitarny"
"Archer","Łucznik"
"Swordsman","Miecznik"
"Spearman","Włócznik"
"Mounted Knight","Rycerz konny"
"Horse Archer","Łucznik konny"
"Horse Spearman","Włócznik konny"
"Healer","Uzdrowiciel"
"Skeleton Swordsman","Szkieletowy miecznik"
"Skeleton Archer","Szkieletowy łucznik"
"Grave Priest","Grobowy kapłan"
"Catapult","Katapulta"
"Ballista","Balista"
"War Elephant","Słoń bojowy"
"Quintus Fabius Maximus","Kwintus Fabiusz Maksymus"
"Publius Cornelius Scipio","Publiusz Korneliusz Scypion"
"Marcus Claudius Marcellus","Marek Klaudiusz Marcellus"
"Hanno the Great","Hannon Wielki"
"Hasdrubal Barca","Hazdrubal Barkas"
"Hannibal Barca","Hannibal Barkas"
"Builder","Budowniczy"
"Sheep","Owca"
"Wolf","Wilk"
"Unknown Troop","Nieznany oddział"
"African War Elephant","Afrykański słoń bojowy"
"An ancient army marched with its own carpenters and masons, raising and fortifying a camp every night.","Antyczna armia maszerowała z własnymi cieślami i murarzami, wznosząc i fortyfikując obóz każdej nocy."
"Ancient armies kept surgeons close to the line; the wounded who walked away were the difference between a campaign and a rout.","Antyczne armie trzymały lekarzy blisko linii; ranni, którzy odeszli o własnych siłach, stanowili różnicę między kampanią a pogromem."
"Anti-cavalry spear line","Linia włóczni przeciw jeździe"
"Archers are the answer to it, and massed bows bring it down before it closes.","Odpowiedzią na to są łucznicy, a masa łuków kładzie to, zanim zdąży dojść."
"As brittle as any archer, and it withers as soon as the line in front of it fails.","Kruchy jak każdy łucznik i więdnie, gdy tylko linia przed nim pęknie."
"Auxiliary Archer","Łucznik posiłkowy"
"Battle caster","Czarownik bojowy"
"Behind every field army stood the farms and quarries that fed it, and the people who worked them.","Za każdą armią polową stały gospodarstwa i kamieniołomy, które ją żywiły, oraz ludzie, którzy w nich pracowali."
"Bows decided few ancient battles outright, but a volley loosed before contact could break a formation's nerve.","Łuki rzadko rozstrzygały antyczne bitwy wprost, ale salwa puszczona przed zwarciem potrafiła złamać nerwy szyku."
"Breaks on a braced spear line, which cuts mounted troops down at more than twice the usual rate.","Rozbija się o podpartą linię włóczni, która tnie konnych ponad dwukrotnie szybciej niż zwykle."
"Cannot fight. Left unguarded it dies to anything that reaches it.","Nie potrafi walczyć. Bez ochrony ginie od wszystkiego, co do niego dojdzie."
"Carries more health than any squad on the field, and its reach breaks a line that stands to receive it.","Ma więcej zdrowia niż jakikolwiek oddział na polu, a jego zasięg łamie linię, która stanie, by go przyjąć."
"Carthage bought its archers from Libya and the islands, paying in silver what Rome demanded of its citizens.","Kartagina kupowała łuczników w Libii i na wyspach, płacąc srebrem to, czego Rzym żądał od swoich obywateli."
"Carthage sent its own citizens into the line only when the city itself was threatened. The rest of the army was hired.","Kartagina posyłała własnych obywateli do szyku dopiero wtedy, gdy zagrożone było samo miasto. Reszta armii była najemna."
"Carthage took its elephants from the forests south of the Atlas, smaller than the Indian beasts but the terror of Italy.","Kartagina brała słonie z lasów na południe od Atlasu — mniejsze niż zwierzęta indyjskie, ale będące postrachem Italii."
"Carthaginian Ballista","Balista kartagińska"
"Carthaginian Catapult","Katapulta kartagińska"
"Carthaginian engineers learned artillery from the Greek cities of Sicily, and then improved on it.","Kartagińscy inżynierowie nauczyli się artylerii od greckich miast Sycylii, a potem ją ulepszyli."
"Cavalry rarely charged an unbroken line. It waited for a flank to open and then finished the day.","Jazda rzadko szarżowała na nienaruszoną linię. Czekała, aż odsłoni się skrzydło, i wtedy kończyła dzień."
"Citizen Infantry","Piechota obywatelska"
"Close-order swordsmen were the expensive core of a Mediterranean army, drilled to hold a line rather than to duel.","Miecznicy w zwartym szyku byli drogim rdzeniem armii śródziemnomorskiej, wyszkolonym raczej do trzymania linii niż do pojedynków."
"Costs nothing to raise and never breaks, so it buys time no living troop would.","Nic nie kosztuje jego wystawienie i nigdy nie pęka, więc kupuje czas, jakiego nie kupi żaden żywy oddział."
"Cursed Arrow Volley","Salwa przeklętych strzał"
"Cursed missile line","Przeklęta linia strzelecka"
"Defenceless at close quarters. Infantry that reaches it kills it in a few seconds.","Bezbronny w zwarciu. Piechota, która do niego dojdzie, zabija go w kilka sekund."
"Denies ground nothing else can reach, at well over twice an archer's range.","Odbiera grunt, do którego nic innego nie sięga, na ponad dwukrotnym zasięgu łucznika."
"Engineer and labourer","Inżynier i robotnik"
"Equites","Ekwici"
"Every arrow that lands leaves a curse on its target, draining the will of the formation it struck.","Każda strzała, która trafi, zostawia na celu klątwę wysysającą wolę szyku, w który uderzyła."
"Expendable line infantry","Piechota liniowa na stracenie"
"Faber","Faber"
"Faction-defining heavy beast","Ciężka bestia określająca frakcję"
"Fast enough to choose its own fight, and it rides down archers left without a screen.","Dość szybki, by sam wybierał sobie walkę, i tratuje łuczników zostawionych bez osłony."
"Field surgeon","Lekarz polowy"
"Fireball","Kula ognia"
"Fragile once contacted. Cavalry overruns it whenever it has no melee screen.","Kruchy, gdy dojdzie do zwarcia. Jazda go tratuje, kiedy tylko nie ma osłony w walce wręcz."
"Gathers and delivers the resources every other unit is paid for with.","Zbiera i dostarcza surowce, którymi płaci się za każdą inną jednostkę."
"Has no melee worth the name, and spears punish it the moment it is caught.","Nie ma walki wręcz z prawdziwego zdarzenia, a włócznie karzą go w chwili, gdy zostanie dopadnięty."
"Heavy line infantry","Ciężka piechota liniowa"
"Horse archers came from the steppe and the desert margins, and Mediterranean armies hired them rather than raised them.","Łucznicy konni przybywali ze stepu i skrajów pustyni, a armie śródziemnomorskie raczej ich najmowały, niż wystawiały własnych."
"Hurls fire that bursts across a formation and clings to the ground where it lands.","Ciska ogniem, który wybucha nad szykiem i lgnie do ziemi tam, gdzie spadnie."
"Hurls fire that bursts across a formation and leaves the ground burning where it lands.","Ciska ogniem, który wybucha nad szykiem i zostawia ziemię płonącą tam, gdzie spadnie."
"Its arrows carry a curse that drains the will of everything they strike.","Jego strzały niosą klątwę, która wysysa wolę ze wszystkiego, co trafią."
