"source","translation_es_ES"
"What it costs","Lo que cuesta"
"Fields %n soldier(s) in one squad.","Despliega %n soldado en una escuadra. | Despliega %n soldados en una escuadra."
"Archer","Arquero"
"Swordsman","Espadero"
"Spearman","Lancero"
"Mounted Knight","Caballero montado"
"Horse Archer","Arquero a caballo"
"Horse Spearman","Lancero a caballo"
"Healer","Sanador"
"Skeleton Swordsman","Espadero esqueleto"
"Skeleton Archer","Arquero esqueleto"
"Grave Priest","Sacerdote sepulcral"
"Catapult","Catapulta"
"Ballista","Balista"
"War Elephant","Elefante de guerra"
"Quintus Fabius Maximus","Quinto Fabio Máximo"
"Publius Cornelius Scipio","Publio Cornelio Escipión"
"Marcus Claudius Marcellus","Marco Claudio Marcelo"
"Hanno the Great","Hanón el Grande"
"Hasdrubal Barca","Asdrúbal Barca"
"Hannibal Barca","Aníbal Barca"
"Builder","Constructor"
"Civilian","Civil"
"Sheep","Oveja"
"Wolf","Lobo"
"Unknown Troop","Tropa desconocida"
"African War Elephant","Elefante de guerra africano"
"Auxiliary Archer","Arquero auxiliar"
"Carthaginian Ballista","Balista cartaginesa"
"Carthaginian Catapult","Catapulta cartaginesa"
"Citizen Infantry","Infantería ciudadana"
"Equites","Equites"
"Faber","Faber"
"Legionary","Legionario"
"Liby-Phoenician Spear","Lancero libiofenicio"
"Libyan Archer","Arquero libio"
"Medicus","Medicus"
"Numidian Cavalry","Caballería númida"
"Onager","Onagro"
"Phoenician Craftsman","Artesano fenicio"
"Sacred Band Healer","Sanador del batallón sagrado"
"Triarius","Triario"
"An ancient army marched with its own carpenters and masons, raising and fortifying a camp every night.","Un ejército antiguo marchaba con sus propios carpinteros y canteros, levantando y fortificando un campamento cada noche."
"Ancient armies kept surgeons close to the line; the wounded who walked away were the difference between a campaign and a rout.","Los ejércitos antiguos mantenían cirujanos cerca de la línea; los heridos que se marchaban por su pie eran la diferencia entre una campaña y una desbandada."
"Anti-cavalry spear line","Línea de lanzas anticaballería"
"Archers are the answer to it, and massed bows bring it down before it closes.","Los arqueros son la respuesta, y los arcos en masa lo abaten antes de que llegue."
"As brittle as any archer, and it withers as soon as the line in front of it fails.","Tan quebradiza como cualquier arquero, y se marchita en cuanto cede la línea que tiene delante."
"Awakened","Despertado"
"Battle caster","Hechicero de batalla"
"Behind every field army stood the farms and quarries that fed it, and the people who worked them.","Tras cada ejército de campaña estaban las granjas y canteras que lo alimentaban, y la gente que las trabajaba."
"Bows decided few ancient battles outright, but a volley loosed before contact could break a formation's nerve.","Pocas batallas antiguas las decidió el arco por sí solo, pero una andanada lanzada antes del choque podía quebrar el ánimo de una formación."
"Breaks on a braced spear line, which cuts mounted troops down at more than twice the usual rate.","Se rompe contra una línea de lanzas afianzada, que siega a las tropas montadas a más del doble del ritmo normal."
"Cannot fight. Left unguarded it dies to anything that reaches it.","No puede combatir. Sin protección muere ante cualquier cosa que lo alcance."
"Carries more health than any squad on the field, and its reach breaks a line that stands to receive it.","Lleva más vida que cualquier escuadra en el campo, y su alcance rompe la línea que aguarda su embestida."
"Carthage bought its archers from Libya and the islands, paying in silver what Rome demanded of its citizens.","Cartago compraba sus arqueros en Libia y las islas, pagando en plata lo que Roma exigía a sus ciudadanos."
"Carthage sent its own citizens into the line only when the city itself was threatened. The rest of the army was hired.","Cartago enviaba a sus propios ciudadanos a la línea solo cuando la ciudad misma peligraba. El resto del ejército era mercenario."
"Carthage took its elephants from the forests south of the Atlas, smaller than the Indian beasts but the terror of Italy.","Cartago tomaba sus elefantes de los bosques al sur del Atlas: menores que las bestias índicas, pero el terror de Italia."
"Carthaginian engineers learned artillery from the Greek cities of Sicily, and then improved on it.","Los ingenieros cartagineses aprendieron la artillería de las ciudades griegas de Sicilia y luego la mejoraron."
"Caster","Hechicero"
"Cavalry","Caballería"
"Cavalry rarely charged an unbroken line. It waited for a flank to open and then finished the day.","La caballería rara vez cargaba contra una línea intacta. Esperaba a que se abriera un flanco y entonces remataba la jornada."
"Close-order swordsmen were the expensive core of a Mediterranean army, drilled to hold a line rather than to duel.","Los espadachines en orden cerrado eran el núcleo caro de un ejército mediterráneo, instruidos para sostener una línea, no para batirse en duelo."
"Command","Mando"
"Costs nothing to raise and never breaks, so it buys time no living troop would.","No cuesta nada levantarla y jamás se quiebra, así que gana un tiempo que ninguna tropa viva daría."
"Cursed Arrow Volley","Andanada de flechas malditas"
"Cursed missile line","Línea de tiro maldita"
"Defenceless at close quarters. Infantry that reaches it kills it in a few seconds.","Indefensa a corta distancia. La infantería que la alcanza la mata en unos segundos."
"Denies ground nothing else can reach, at well over twice an archer's range.","Niega terreno que nada más alcanza, a mucho más del doble del alcance de un arquero."
"Elite","Élite"
"Engineer and labourer","Ingeniero y peón"
"Every arrow that lands leaves a curse on its target, draining the will of the formation it struck.","Cada flecha que acierta deja una maldición en su blanco y drena la voluntad de la formación alcanzada."
"Expendable","Prescindible"
"Expendable line infantry","Infantería de línea prescindible"
"Faction-defining heavy beast","Bestia pesada que define a la facción"
"Fast enough to choose its own fight, and it rides down archers left without a screen.","Lo bastante rápida para elegir su combate, y arrolla a los arqueros dejados sin pantalla."
"Field surgeon","Cirujano de campaña"
"Fireball","Bola de fuego"
"Fragile once contacted. Cavalry overruns it whenever it has no melee screen.","Frágil en cuanto la alcanzan. La caballería la arrolla siempre que carece de pantalla cuerpo a cuerpo."
"Gathers and delivers the resources every other unit is paid for with.","Recoge y entrega los recursos con los que se paga a todas las demás unidades."
"Has no melee worth the name, and spears punish it the moment it is caught.","No tiene cuerpo a cuerpo digno de ese nombre, y las lanzas lo castigan en cuanto lo atrapan."
"Heavy infantry","Infantería pesada"
"Heavy line infantry","Infantería de línea pesada"
"Horse archers came from the steppe and the desert margins, and Mediterranean armies hired them rather than raised them.","Los arqueros a caballo venían de la estepa y los márgenes del desierto; los ejércitos mediterráneos los contrataban en vez de reclutarlos."
"Hurls fire that bursts across a formation and clings to the ground where it lands.","Arroja fuego que estalla sobre una formación y se adhiere al suelo donde cae."
"Hurls fire that bursts across a formation and leaves the ground burning where it lands.","Arroja fuego que estalla sobre una formación y deja el suelo ardiendo donde cae."
"Its arrows carry a curse that drains the will of everything they strike.","Sus flechas llevan una maldición que drena la voluntad de todo lo que alcanzan."
"Its quiver was buried with it, and the curse worked into the shafts outlasted the hand that drew the bow.","Su carcaj fue enterrado con él, y la maldición grabada en las astas sobrevivió a la mano que tensaba el arco."
"Lancer cavalry","Caballería lancera"
"Line infantry","Infantería de línea"
"Loses the straight infantry fight to swords, and caught in the open it is only a slower line.","Pierde el combate directo de infantería ante las espadas, y sorprendida a campo abierto es solo una línea más lenta."
"Massed missile line","Línea de tiro masivo"
"Mends nearby wounded without being told to, so a line that holds keeps its strength.","Cura a los heridos cercanos por su cuenta, de modo que una línea que aguanta conserva su fuerza."
"Mounted","Montado"
"Mounted skirmisher","Hostigador montado"
"Not a soldier. It cannot hold ground and should never be the last thing guarding a camp.","No es un soldado. No puede mantener terreno y jamás debería ser lo último que guarda un campamento."
"One slow body, helpless in melee, and it needs the awakened dead between it and the enemy.","Un cuerpo lento, indefenso en el cuerpo a cuerpo: necesita a los muertos despertados entre él y el enemigo."
"Out-trades everything at range, and massed bows are the answer to a war elephant.","Supera a todo a distancia, y los arcos en masa son la respuesta al elefante de guerra."
"Outranges troops on foot and can withdraw from any fight it cannot win.","Supera en alcance a las tropas a pie y puede retirarse de cualquier combate que no pueda ganar."
"Overrun in seconds by any infantry that reaches it, and far too slow to withdraw.","Arrollada en segundos por cualquier infantería que la alcance, y demasiado lenta para retirarse."
"Phoenician craftsmen raised the harbours and walls that made Carthage the richest city in the western sea.","Los artesanos fenicios levantaron los puertos y murallas que hicieron de Cartago la ciudad más rica del mar occidental."
